id,name,category,price,stock_quantity,supplier_id,sku,description,weight,dimensions,warranty_months,created_at
1,Ultra Tablet 4961,Tablets,211.41,5,4,TAB-51104,"Power economic box save material hit. Brother simple region Democrat partner really your. But table later together knowledge.
Property remember nearly face feel church. Soldier meeting building cut.",2.436,39 x 21 x 3 cm,12,2024-03-29T07:30:39.471505
2,Pro Tablet 9849,Tablets,1054.91,31,16,TAB-84668,"By first avoid letter. General there sister policy consider whom item. Story million fight class.
Way million exist bad cultural what. By field move maybe collection.",0.295,12 x 18 x 10 cm,36,2024-08-20T09:11:43.511043
3,Mechanical Keyboard RGB Plus,Gaming,851.99,3,1,GAM-19508,Safe team wish candidate have no. Drop business last cell anything war. Industry while total spend value return couple city.,4.992,13 x 7 x 9 cm,36,2024-11-16T15:50:27.786607
4,Max Tablet 1227,Tablets,538.0,91,46,TAB-81200,"And anything no guy eye hit. Share evidence writer quite budget window hour. Newspaper hand certain own husband American.
Require sound mind chance.",4.921,35 x 25 x 9 cm,,2024-10-18T19:58:11.714964
5,Max Wearable 1797,Wearables,194.0,0,48,WEA-24029,Listen whose situation simply officer return on color.,1.435,29 x 11 x 6 cm,36,2024-11-11T20:25:20.115442
6,Elite Wearable 4214,Wearables,692.27,548,3,WEA-46265,,3.878,30 x 13 x 3 cm,6,2024-09-16T03:42:18.870161
7,Pro Wearable 1932,Wearables,718.17,89,38,WEA-58393,Machine whatever everything fear walk word side relate. First give value somebody event business quality.,2.206,11 x 14 x 6 cm,12,2024-09-12T05:39:24.971378
8,Ultra Accessorie 4188,Accessories,112.57,5,40,ACC-63264,"Including response beyond side.
Within citizen present thing little practice sense.
Experience arrive shoulder present discussion school. Tree company think.",4.636,17 x 10 x 3 cm,12,2023-12-29T02:19:01.877868
9,Advanced Tablet 5542,Tablets,582.3,0,18,TAB-42527,Management voice surface life cover both class. Possible responsibility add front far purpose cover. Task today still middle beautiful protect continue cell.,3.536,22 x 6 x 8 cm,6,2023-11-12T13:20:30.322987
10,Max Accessorie 3828,Accessories,201.41,153,50,ACC-19099,"Check security paper indeed near likely Mr. Seven quite other skin moment.
Back nor article natural measure of. Clearly take kind quite. Major together knowledge argue car indeed nor next.",3.243,22 x 26 x 9 cm,12,2023-12-30T22:39:19.290846
11,Max Smartphone 3025,Smartphones,1478.62,60,23,SMA-66959,"She within position inside. Large true help bag who themselves.
Budget year hotel camera without strong. Without leg rest.",1.637,29 x 21 x 2 cm,24,2024-04-25T08:18:33.734331
