id,customer_id,product_id,quantity,unit_price,total_amount,status,payment_method,timestamp,ip_address,user_agent,session_id,discount_applied,tax_amount,shipping_cost
1,350,75,1,52.47,59.9,completed,paypal,2025-05-04T17:24:52.302639,172.26.61.78,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6115-04-21 13:16:49.910660 Firefox/3.6.2,sess_85af9ca3,2.62,0.0,10.05
2,564,299,3,784.7,2589.51,completed,paypal,2025-05-28T11:17:03.302639,172.23.116.44,Mozilla/5.0 (Windows CE; ku-TR; rv:1.9.1.20) Gecko/7433-05-06 20:39:00.476624 Firefox/9.0,sess_398944c5,0,235.41,0
3,117,390,1,576.13,518.52,completed,apple_pay,2025-06-02T14:54:04.302639,172.23.8.229,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0),sess_58911dca,57.61,0.0,0
4,892,291,1,2422.74,2786.15,completed,google_pay,2025-05-11T06:17:18.302639,192.168.146.156,Opera/9.12.(X11; Linux x86_64; he-IL) Presto/2.9.167 Version/10.00,sess_0b49e375,0,363.41,0
5,553,163,2,272.8,544.24,completed,credit_card,2025-05-09T14:52:24.302639,192.168.173.134,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; lb-LU) AppleWebKit/531.33.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.33.1",sess_406065ce,27.28,25.92,0
6,484,49,1,1962.85,999999,completed,google_pay,2025-05-27T12:15:29.302639,10.100.67.192,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/8975-03-24 15:51:56.801483 Firefox/3.8,sess_f02bb279,98.14,186.47,0
7,615,435,1,460.03,458.88,completed,apple_pay,2025-05-27T13:06:54.302639,192.168.222.153,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/19.0.894.0 Safari/536.0",sess_909bab3b,23.0,21.85,0
8,279,106,3,80.1,251.11,completed,google_pay,2025-05-21T07:50:56.302639,172.19.12.244,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.0),sess_76d492b5,12.02,22.83,0
9,721,40,2,452.63,995.79,completed,paypal,2025-05-29T16:50:25.302639,172.31.209.106,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/5.1),sess_ef70f7e4,0,90.53,0
10,481,492,1,135.32,142.09,completed,bank_transfer,2025-05-14T18:44:04.302639,192.168.11.201,"Mozilla/5.0 (iPad; CPU iPad OS 15_8_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/54.0.862.0 Mobile/59R375 Safari/531.0",sess_22e82307,0,6.77,0
11,92,224,1,1662.88,1795.91,completed,credit_card,05/05/2025 08:16:30,10.19.121.187,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/6687-06-10 02:10:26.842133 Firefox/3.8,sess_02d7fb10,0,133.03,0
12,375,25,2,354.59,673.72,completed,google_pay,2025-05-12T06:58:10.302639,172.24.183.235,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/4.0.4 Safari/531.24.5",sess_faf5eb30,35.46,0.0,0
13,286,446,4,298.75,1290.6,completed,credit_card,2025-05-29T01:33:04.302639,10.54.104.251,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/47.0.855.0 Safari/532.2",sess_ee67971e,0,95.6,0
14,181,148,1,70.28,83.52,completed,google_pay,2025-05-09T14:12:38.302639,192.168.172.93,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),sess_253e9d9b,0,3.51,9.72
15,780,189,1,1801.6,1702.51,failed,paypal,2025-05-17T14:59:11.302639,192.168.49.231,Opera/8.72.(Windows CE; nr-ZA) Presto/2.9.178 Version/11.00,sess_d1839b26,180.16,81.07,0
16,22,257,1,569.66,541.18,completed,paypal,2025-05-22T13:08:10.302639,10.62.124.25,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.1),sess_4e32a769,28.48,0.0,0
17,466,90,2,1238.51,2340.78,refunded,paypal,2025-05-29T09:40:38.302639,172.29.64.89,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7716-09-25 23:28:52.428619 Firefox/3.6.18,sess_1ee55227,247.7,111.47,0
18,405,282,1,623.57,717.11,completed,credit_card,2025-05-20T11:41:33.302639,10.181.98.74,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1),sess_17c90d5f,0,93.54,0
19,516,440,1,1163.86,1222.05,completed,google_pay,2025-06-01T13:38:23.302639,172.21.160.95,Opera/8.85.(Windows NT 5.1; tr-TR) Presto/2.9.188 Version/12.00,sess_47b30555,0,58.19,0
20,221,223,1,625.32,687.85,completed,bank_transfer,2025-05-07T12:37:50.302639,172.18.28.142,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/13.4b7337.0 Mobile/46L133 Safari/531.2",sess_a96af085,0,62.53,0
21,259,250,1,754.86,815.25,completed,apple_pay,2025-05-06T23:13:29.302639,192.168.96.131,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7 rv:4.0; ts-ZA) AppleWebKit/534.27.3 (KHTML, like Gecko) Version/5.0 Safari/534.27.3",sess_94dd807f,0,60.39,0
22,359,239,4,3248.57,14293.71,completed,paypal,2025-06-01T07:38:18.302639,192.168.76.225,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.0),sess_d4eafd19,0,1299.43,0
23,922,85,1,294.92,339.16,completed,bank_transfer,2025-05-26T15:03:01.302639,192.168.212.185,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/3.1),sess_4ac173ad,0,44.24,0
24,335,146,1,143.02,164.47,completed,paypal,2025-05-31T11:56:28.302639,172.31.248.49,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/16.0.822.0 Safari/536.0",sess_3338ec24,0,21.45,0
25,992,79,4,234.59,1032.2,completed,google_pay,2025-05-11T11:46:40.302639,172.23.74.137,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0),sess_0bd261bd,0,93.84,0
26,296,489,1,1426.68,1490.88,completed,paypal,2025-05-16T15:12:26.302639,10.233.133.38,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0),sess_9cf0cfea,71.33,135.53,0
27,168,440,1,1163.86,1216.23,completed,credit_card,2025-05-09T15:04:14.302639,192.168.200.68,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/5.0),sess_b5f1fab6,58.19,110.57,0
28,632,373,5,111.5,602.1,completed,google_pay,2025-05-16T23:35:35.302639,192.0.2.1,Mozilla/5.0 (compatible; Bot/1.0),sess_de2b4608,0,44.6,0
29,919,126,1,207.29,196.45,completed,credit_card,2025-05-04T07:32:19.302639,172.19.93.194,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.1),sess_745e126e,25.39,14.55,0
30,144,115,3,522.0,1562.09,completed,bank_transfer,2025-05-06T06:15:29.302639,10.80.228.25,Opera/8.84.(X11; Linux x86_64; bhb-IN) Presto/2.9.166 Version/11.00,sess_707439f1,78.3,74.39,0
31,307,42,1,20399.54,20399.54,completed,credit_card,2025-05-10T15:20:59.302639,10.72.235.3,"Mozilla/5.0 (Linux; Android 4.0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/41.0.893.0 Safari/536.2",sess_267e8f89,0,0.0,0
32,122,158,1,130.63,143.69,completed,credit_card,2025-05-05T13:25:37.302639,172.29.25.190,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/62.0.893.0 Safari/534.0",sess_f30e229a,0,13.06,0
33,608,193,3,288.56,762.97,completed,bank_transfer,2025-05-17T09:27:31.302639,198.51.100.1,curl/7.68.0,sess_c0fbba4e,139.04,36.33,0
34,696,352,4,979.76,4506.9,pending,bank_transfer,2025-06-01T05:02:10.302639,10.72.176.156,Opera/8.16.(X11; Linux x86_64; ne-NP) Presto/2.9.170 Version/12.00,sess_cbf5be48,0,587.86,0
35,842,473,1,400.35,440.39,completed,credit_card,2025-05-08T05:31:06.302639,192.168.108.165,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),sess_096e3ad9,0,40.04,0
36,873,134,1,429.19,493.57,completed,apple_pay,2025-05-31T19:31:38.302639,192.168.133.167,Opera/9.93.(X11; Linux i686; sw-KE) Presto/2.9.187 Version/12.00,sess_695d48e2,0,64.38,0
37,975,261,1,399.88,439.87,completed,bank_transfer,2025-05-21T08:51:59.302639,10.20.198.1,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_7 rv:5.0; mg-MG) AppleWebKit/534.37.2 (KHTML, like Gecko) Version/5.0.5 Safari/534.37.2",sess_672cc83a,0,39.99,0
38,76,301,1,1089.78,1198.76,completed,bank_transfer,2025-05-30T10:09:46.302639,10.231.216.251,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.0),sess_1d3eead1,0,108.98,0
39,966,344,1,416.19,437.0,completed,paypal,2025-05-06T08:30:41.302639,192.168.118.126,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-ZM) AppleWebKit/535.4.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6535.4.1",sess_66e8dfef,0,20.81,0
40,833,255,1,730.42,788.85,completed,bank_transfer,2025-05-20T10:08:52.302639,10.89.45.144,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1),sess_e3365f8c,0,58.43,0
41,8,446,2,298.75,580.77,pending,apple_pay,2025-05-21T05:05:31.302639,10.1.224.109,Mozilla/5.0 (Windows NT 5.01; mk-MK; rv:1.9.0.20) Gecko/2218-10-16 17:55:18.180140 Firefox/3.6.6,sess_1e4fe7e2,59.75,43.02,0
42,285,465,1,3430.14,3430.14,completed,bank_transfer,2025-05-10T12:00:40.302639,10.39.198.52,Opera/9.31.(Windows NT 10.0; hu-HU) Presto/2.9.174 Version/11.00,sess_50aa855f,0,0.0,0
43,207,109,1,2293.7,2505.87,completed,paypal,2025-05-26T05:33:25.302639,192.168.134.19,"Mozilla/5.0 (iPad; CPU iPad OS 17_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/20.0.864.0 Mobile/70E547 Safari/536.2",sess_b39ff009,114.69,326.85,0
