id,name,contact_email,phone,address,country,reliability_score,average_delivery_days,payment_terms,established_date,certification
1,Apple Inc.,wholesale@appleinc.com,+1-210-343-3218x1960,"386 Shane Harbors, Port Lindachester, MA 36922",CapeVerde,0.98,5,Net 30,1985-02-09,"ISO 9001, ISO 14001"
2,Samsung Electronics,wholesale@samsungelectronics.com,001-851-316-1559x40781,"310 Kendra Common Apt. 164, Reidstad, GA 49021",Guinea,0.95,4,Net 60,1984-11-06,"ISO 9001, ISO 27001"
3,Microsoft Corporation,wholesale@microsoftcorporation.com,719-228-3276x483,"6413 Lewis Parks, Wilkersonmouth, FL 35219",Burundi,0.94,6,Net 45,1986-07-09,"ISO 9001, ISO 27001"
4,Sony Corporation,wholesale@sonycorporation.com,+1-484-996-9653,"22691 James Mountain, Tashatown, TX 94967",Brazil,0.89,8,Net 30,2006-02-04,"ISO 9001, ISO 14001"
5,Dell Technologies,wholesale@delltechnologies.com,+1-645-414-6270,"489 Eric Track, New Stephanie, NC 00575",NetherlandsAntilles,0.92,4,Prepaid,1990-01-03,"ISO 9001, ISO 14001"
6,HP Inc.,wholesale@hpinc.com,3159430391,"78248 Brandt Plains, Lake Larry, TN 85681",HolySee(VaticanCityState),0.88,4,Net 30,1995-02-19,"ISO 9001, ISO 14001"
7,Lenovo Group,wholesale@lenovogroup.com,371.233.1509x83930,"1834 Lewis Curve, Sanchezfort, AS 53855",Comoros,0.86,8,Net 45,1979-09-01,"ISO 9001, ISO 27001"
8,ASUS,wholesale@asus.com,+1-565-966-7010x65133,"7317 Brent Plains, North Sarabury, GA 53770",LibyanArabJamahiriya,0.87,6,Net 30,1997-01-30,"ISO 9001, ISO 27001"
9,Acer Inc.,wholesale@acerinc.com,(502)660-6474x6872,"805 Brendan Neck, North Susan, CO 24857",Bangladesh,0.82,4,Prepaid,2002-03-13,"ISO 9001, ISO 27001"
10,LG Electronics,wholesale@lgelectronics.com,+1-736-619-3990x91699,"46247 Hickman Cliffs Apt. 799, North Amandahaven, KS 17862",Venezuela,0.84,6,Prepaid,1991-02-15,"ISO 9001, OHSAS 18001"
11,Nvidia Corporation,wholesale@nvidiacorporation.com,235-642-7849,"USS Mcmillan, FPO AE 35165",Brazil,0.93,4,Net 30,2015-06-16,"ISO 9001, ISO 27001"
12,AMD,wholesale@amd.com,001-282-344-9353x4874,"05242 Arnold Meadow Apt. 112, Port Mikeside, FL 56834",BruneiDarussalam,0.9,4,Prepaid,1977-04-21,"ISO 9001, OHSAS 18001"
13,Intel Corporation,wholesale@intelcorporation.com,(405)433-1586x923,"56342 Patrick Camp, Walkermouth, MI 40502",Swaziland,0.95,5,Net 60,2011-03-18,"ISO 9001, ISO 27001"
14,Logitech,wholesale@logitech.com,730.836.5414,"14294 Daniel Mews Suite 569, South Rachelborough, KS 06318",RussianFederation,0.85,1,Net 45,1995-01-16,"ISO 9001, OHSAS 18001"
15,Razer Inc.,wholesale@razerinc.com,783.856.1595x14846,"66299 Sullivan Village, West Justinchester, WY 76520",NewCaledonia,0.81,1,Net 30,2004-11-18,"ISO 9001, ISO 14001"
16,Ramos-Lowe,yleon@example.net,(514)589-5134,"79176 Jennifer Lights, Rossberg, SD 90629",Albania,0.79,5,Net 45,2021-04-22,ISO 9001
17,Osborne and Sons,lindadominguez@example.com,7839172788,"727 Green Gateway Suite 873, Scottport, IA 36115",Grenada,0.94,3,Net 45,2004-09-09,None
18,"Miller, Hernandez and Reyes",jasminebrown@example.com,787-660-3669x09670,"893 Robinson Mews Suite 065, Ramseymouth, PW 17229",Nigeria,0.88,7,Net 30,2010-11-28,ISO 9001
19,Vargas-Alvarado,dayderek@example.com,(804)665-3755,"1708 Zoe Keys Apt. 100, East Mary, RI 20474",DominicanRepublic,0.92,4,Net 45,1999-01-29,None
20,"Wilson, Gould and Marshall",katie29@example.net,001-512-341-9049x6631,"919 Michael Meadow Suite 185, Port Robertfort, CT 57323",Guyana,0.79,2,Net 60,2013-11-07,ISO 9001
21,Zimmerman-Graham,christina87@example.com,(294)953-1473x79965,"3545 Beard Squares, Angelahaven, ID 11722",DominicanRepublic,0.74,11,Net 60,2016-04-20,None
22,Peters-Allen,fbrewer@example.com,9147363495,"7444 David Fields Suite 182, East Joanna, KY 95473",Namibia,0.86,6,Net 60,2023-09-28,ISO 9001
23,"Carlson, Hooper and Wall",jeremy24@example.org,001-682-940-0842x710,"04711 Vasquez Ports Apt. 229, Christopherbury, DE 73648",Serbia,0.71,7,Net 45,2007-06-28,
24,"Gibbs, Perez and Mills",tkerr@example.net,(349)490-9133x41232,"974 Jesse Squares Suite 713, Kristinshire, TN 26429",Jamaica,0.84,2,Net 60,1998-09-30,
25,Holland LLC,charlesmartin@example.com,+1-994-371-7464x887,"594 Christopher Spring Apt. 490, South April, NV 36959",Cocos(Keeling)Islands,0.86,5,Net 30,2024-04-30,None
